id,name,monthly_price_cents,monthly_price_yearly_subscription_in_cents
2,MagentaTV - MegaSport,,6000
3,ZDF - Free-TV,0,0
4,ARD - Free-TV,0,0
5,RTL+ - Premium,699,583
10,WOW - Live-Sport,3599,2999
13,Joyn - Standard,0,0
14,waipu.tv - Comfort,749,749
15,Vodafone - GigaTV Cable,,1249
16,Zattoo - FREE,0,0
17,Amazon - Prime Video,899,749
18,DAZN - Unlimited,4499,3499
19,Sky - Bundesliga,,3000
20,Zattoo - SMART HD,649,649
35,Sky - Sport,,2500
36,Sky - Sport und Bundesliga,,3500
37,DAZN - World,999,699
38,DAZN - Super Sports,2499,1999
39,DAZN - Free,0,0
40,MagentaTV - Smart,1500,1500
41,MagentaTV - Flex,1000,1000
42,MagentaTV - Sport,1995,1295
43,Sport1 - Free-TV,0,0
44,Sat1 - Free-TV,0,0
45,Sportdigital - Free,0,0
46,Sportdigital - Premium,499,375
47,Zattoo - SMART HD mit Plus Sport,1239,1239
48,RTL - Free-TV,0,0
49,Bild - Bildplus,199,199
50,Bildplus/Amazon - Bildplus/Amazon Prime Video,899,899
51,Digiturk - Fußball + Family,,992
52,waipu.tv - Perfect Plus,1299,1299
53,waipu.tv - Perfect Plus DAZN,5499,4499
54,O2 - TV M,699,699
55,O2 - TV M mit Pay-TV,1398,1398
56,Vodafone - GigaTV Cable Premium Plus,,2332
57,Apple - MLS Season Pass,1499,825
58,SportWorld - Samsung Sport Paket,1499,1499
