game_id,streaming_package_id,live,highlights
1,2,1,1
1,3,1,1
1,4,0,1
1,10,0,1
1,13,1,0
1,14,1,0
1,15,1,0
1,16,1,0
1,17,1,0
1,18,1,0
1,19,1,0
2,2,1,1
2,3,0,1
2,4,0,1
2,10,0,1
3,2,1,1
3,3,0,1
3,4,1,1
3,10,0,1
3,13,1,0
3,14,1,0
3,15,1,0
3,16,1,0
3,17,1,0
3,18,1,0
3,19,1,0
4,2,1,1
4,3,0,1
4,4,1,1
4,10,0,1
4,13,1,0
4,14,1,0
4,15,1,0
4,16,1,0
4,17,1,0
4,18,1,0
4,19,1,0
5,2,1,1
5,3,0,1
5,4,0,1
5,5,1,0
5,10,0,1
5,14,1,0
5,15,1,0
5,18,1,0
5,19,1,0
5,20,1,0
6,2,1,1
6,3,1,1
6,4,0,1
6,10,0,1
6,13,1,0
6,14,1,0
6,15,1,0
6,16,1,0
6,17,1,0
6,18,1,0
6,19,1,0
7,2,1,1
7,3,1,1
7,4,0,1
7,10,0,1
7,13,1,0
7,14,1,0
7,15,1,0
7,16,1,0
7,17,1,0
7,18,1,0
7,19,1,0
8,2,1,1
8,3,0,1
8,4,0,1
8,5,1,0
8,10,0,1
8,14,1,0
8,15,1,0
8,18,1,0
8,19,1,0
8,20,1,0
9,2,1,1
9,3,1,1
9,4,0,1
9,10,0,1
9,13,1,0
9,14,1,0
9,15,1,0
9,16,1,0
9,17,1,0
9,18,1,0
9,19,1,0
10,2,1,1
10,3,0,1
10,4,1,1
10,10,0,1
10,13,1,0
10,14,1,0
10,15,1,0
10,16,1,0
10,17,1,0
10,18,1,0
10,19,1,0
11,2,1,1
11,3,0,1
11,4,0,1
11,5,1,0
11,10,0,1
11,14,1,0
11,15,1,0
11,18,1,0
11,19,1,0
11,20,1,0
12,2,1,1
12,3,0,1
12,4,1,1
12,10,0,1
12,13,1,0
12,14,1,0
12,15,1,0
12,16,1,0
12,17,1,0
12,18,1,0
12,19,1,0
13,2,1,1
13,3,0,1
13,4,0,1
13,5,1,0
13,10,0,1
13,14,1,0
13,15,1,0
13,18,1,0
13,19,1,0
13,20,1,0
14,2,1,1
14,3,0,1
14,4,1,1
14,10,0,1
14,13,1,0
14,14,1,0
14,15,1,0
14,16,1,0
14,17,1,0
14,18,1,0
14,19,1,0
15,2,1,1
15,3,0,1
15,4,1,1
15,10,0,1
15,13,1,0
15,14,1,0
15,15,1,0
15,16,1,0
15,17,1,0
15,18,1,0
15,19,1,0
16,2,1,1
16,3,0,1
16,4,0,1
16,10,0,1
17,2,1,1
17,3,1,1
17,4,0,1
17,10,0,1
17,13,1,0
17,14,1,0
17,15,1,0
17,16,1,0
17,17,1,0
17,18,1,0
17,19,1,0
18,2,1,1
18,3,1,1
18,4,0,1
18,10,0,1
18,13,1,0
18,14,1,0
18,15,1,0
18,16,1,0
18,17,1,0
18,18,1,0
18,19,1,0
19,2,1,1
19,3,0,1
19,4,0,1
19,5,1,0
19,10,0,1
19,14,1,0
19,15,1,0
19,18,1,0
19,19,1,0
19,20,1,0
20,2,1,1
20,3,0,1
20,4,1,1
20,10,0,1
20,13,1,0
20,14,1,0
20,15,1,0
20,16,1,0
20,17,1,0
20,18,1,0
20,19,1,0
21,2,1,1
21,3,0,1
21,4,1,1
21,10,0,1
21,13,1,0
21,14,1,0
21,15,1,0
21,16,1,0
21,17,1,0
21,18,1,0
21,19,1,0
22,2,1,1
22,3,0,1
22,4,0,1
22,5,1,0
22,10,0,1
22,14,1,0
22,15,1,0
22,18,1,0
22,19,1,0
22,20,1,0
23,2,1,1
23,3,1,1
23,4,0,1
23,10,0,1
23,13,1,0
23,14,1,0
23,15,1,0
23,16,1,0
23,17,1,0
23,18,1,0
23,19,1,0
24,2,1,1
24,3,1,1
24,4,0,1
24,10,0,1
24,13,1,0
24,14,1,0
24,15,1,0
24,16,1,0
24,17,1,0
24,18,1,0
24,19,1,0
25,2,1,1
25,3,0,1
25,4,1,1
25,10,0,1
25,13,1,0
25,14,1,0
25,15,1,0
25,16,1,0
25,17,1,0
25,18,1,0
25,19,1,0
26,2,1,1
26,3,0,1
26,4,0,1
26,10,0,1
27,2,1,1
27,3,0,1
27,4,0,1
27,5,1,0
27,10,0,1
27,14,1,0
27,15,1,0
27,18,1,0
27,19,1,0
27,20,1,0
28,2,1,1
28,3,1,1
28,4,0,1
28,10,0,1
28,13,1,0
28,14,1,0
28,15,1,0
28,16,1,0
28,17,1,0
28,18,1,0
28,19,1,0
29,2,1,1
29,3,0,1
29,4,0,1
29,5,1,0
29,10,0,1
29,14,1,0
29,15,1,0
29,18,1,0
29,19,1,0
29,20,1,0
30,2,1,1
30,3,1,1
30,4,0,1
30,10,0,1
30,13,1,0
30,14,1,0
30,15,1,0
30,16,1,0
30,17,1,0
30,18,1,0
30,19,1,0
31,2,1,1
31,3,1,1
31,4,0,1
31,10,0,1
31,13,1,0
31,14,1,0
31,15,1,0
31,16,1,0
31,17,1,0
31,18,1,0
31,19,1,0
32,2,1,1
32,3,0,1
32,4,0,1
32,10,0,1
33,2,1,1
33,3,0,1
33,4,1,1
33,10,0,1
33,13,1,0
33,14,1,0
33,15,1,0
33,16,1,0
33,17,1,0
33,18,1,0
33,19,1,0
34,2,1,1
34,3,0,1
34,4,0,1
34,5,1,0
34,10,0,1
34,14,1,0
34,15,1,0
34,18,1,0
34,19,1,0
34,20,1,0
35,2,1,1
35,3,0,1
35,4,0,1
35,5,1,0
35,10,0,1
35,14,1,0
35,15,1,0
35,18,1,0
35,19,1,0
35,20,1,0
36,2,1,1
36,3,0,1
36,4,1,1
36,10,0,1
36,13,1,0
36,14,1,0
36,15,1,0
36,16,1,0
36,17,1,0
36,18,1,0
36,19,1,0
37,2,1,1
37,3,0,1
37,4,0,1
37,5,1,0
37,10,0,1
37,14,1,0
37,15,1,0
37,18,1,0
37,19,1,0
37,20,1,0
38,2,1,1
38,3,1,1
38,4,0,1
38,10,0,1
38,13,1,0
38,14,1,0
38,15,1,0
38,16,1,0
38,17,1,0
38,18,1,0
38,19,1,0
39,2,1,1
39,3,1,1
39,4,0,1
39,10,0,1
39,13,1,0
39,14,1,0
39,15,1,0
39,16,1,0
39,17,1,0
39,18,1,0
39,19,1,0
40,2,1,1
40,3,0,1
40,4,1,1
40,10,0,1
40,13,1,0
40,14,1,0
40,15,1,0
40,16,1,0
40,17,1,0
40,18,1,0
40,19,1,0
41,2,1,1
41,3,1,1
41,4,0,1
41,10,0,1
41,13,1,0
41,14,1,0
41,15,1,0
41,16,1,0
41,17,1,0
41,18,1,0
41,19,1,0
42,2,1,1
42,3,0,1
42,4,1,1
42,10,0,1
42,13,1,0
42,14,1,0
42,15,1,0
42,16,1,0
42,17,1,0
42,18,1,0
42,19,1,0
43,2,1,1
43,3,0,1
43,4,1,1
43,10,0,1
43,13,1,0
43,14,1,0
43,15,1,0
43,16,1,0
43,17,1,0
43,18,1,0
43,19,1,0
44,2,1,1
44,3,0,1
44,4,0,1
44,10,0,1
45,2,1,1
45,3,0,1
45,4,1,1
45,10,0,1
45,13,1,0
45,14,1,0
45,15,1,0
45,16,1,0
45,17,1,0
45,18,1,0
45,19,1,0
46,2,1,1
46,3,1,1
46,4,0,1
46,10,0,1
46,13,1,0
46,14,1,0
46,15,1,0
46,16,1,0
46,17,1,0
46,18,1,0
46,19,1,0
47,2,1,1
47,3,1,1
47,4,0,1
47,10,0,1
47,13,1,0
47,14,1,0
47,15,1,0
47,16,1,0
47,17,1,0
47,18,1,0
47,19,1,0
48,2,1,1
48,3,0,1
48,4,0,1
48,5,1,0
48,10,0,1
48,14,1,0
48,15,1,0
48,18,1,0
48,19,1,0
48,20,1,0
49,2,1,1
49,3,1,1
49,4,0,1
49,10,0,1
49,13,1,0
49,14,1,0
49,15,1,0
49,16,1,0
49,17,1,0
49,18,1,0
49,19,1,0
50,2,1,1
50,3,0,1
50,10,0,1
50,13,1,0
50,14,1,0
50,15,1,0
50,16,1,0
50,17,1,0
50,18,1,0
50,19,1,0
51,2,1,1
51,3,0,1
51,10,0,1
51,13,1,0
51,14,1,0
51,15,1,0
51,16,1,0
51,17,1,0
51,18,1,0
51,19,1,0
52,2,1,1
52,3,0,1
52,4,0,1
52,16,0,1
52,17,0,1
52,43,0,1
52,49,0,1
52,50,0,1
53,2,1,1
53,3,0,1
53,4,0,1
53,16,0,1
53,17,0,1
53,43,0,1
53,49,0,1
53,50,0,1
54,2,1,1
54,3,0,1
54,4,0,1
54,16,0,1
54,17,0,1
54,43,0,1
54,49,0,1
54,50,0,1
55,2,1,1
55,3,0,1
55,4,0,1
55,16,0,1
55,17,0,1
55,43,0,1
55,49,0,1
55,50,0,1
56,2,1,1
56,3,0,1
56,4,0,1
56,16,0,1
56,17,0,1
56,43,0,1
56,49,0,1
56,50,0,1
57,2,1,1
57,3,0,1
57,4,0,1
57,16,0,1
57,17,0,1
57,43,0,1
57,49,0,1
57,50,0,1
58,2,1,1
58,3,0,1
58,4,0,1
58,16,0,1
58,17,0,1
58,43,0,1
58,49,0,1
58,50,0,1
59,2,1,1
59,3,0,1
59,4,0,1
59,16,0,1
59,17,0,1
59,43,0,1
59,49,0,1
59,50,0,1
60,2,1,1
60,3,0,1
60,4,0,1
60,16,0,1
60,17,0,1
60,43,0,1
60,49,0,1
60,50,0,1
61,2,1,1
61,3,0,1
61,4,0,1
61,16,0,1
61,17,0,1
61,43,0,1
61,49,0,1
61,50,0,1
62,2,1,1
62,3,0,1
62,4,0,1
62,16,0,1
62,17,0,1
62,43,0,1
62,49,0,1
62,50,0,1
63,2,1,1
63,3,0,1
63,4,0,1
63,16,0,1
63,17,0,1
63,43,0,1
63,49,0,1
63,50,0,1
64,2,1,1
64,3,0,1
64,4,0,1
64,16,0,1
64,17,0,1
64,43,0,1
64,49,0,1
64,50,0,1
65,2,1,1
65,3,0,1
65,4,0,1
65,16,0,1
65,17,0,1
65,43,0,1
65,49,0,1
65,50,0,1
66,2,1,1
66,3,0,1
66,4,0,1
66,16,0,1
66,17,0,1
66,43,0,1
66,49,0,1
66,50,0,1
67,2,1,1
67,3,0,1
67,4,0,1
67,16,0,1
67,17,0,1
67,43,0,1
67,49,0,1
67,50,0,1
68,2,1,1
68,3,0,1
68,4,0,1
68,16,0,1
68,17,0,1
68,43,0,1
68,49,0,1
68,50,0,1
69,2,1,1
69,3,0,1
69,4,0,1
69,16,0,1
69,17,0,1
69,43,0,1
69,49,0,1
69,50,0,1
70,2,1,1
70,3,0,1
70,4,0,1
70,16,0,1
70,17,0,1
70,43,0,1
70,49,0,1
70,50,0,1
71,2,1,1
71,3,0,1
71,4,0,1
71,16,0,1
71,17,0,1
71,43,0,1
71,49,0,1
71,50,0,1
72,2,1,1
72,3,0,1
72,4,0,1
72,16,0,1
72,17,0,1
72,43,0,1
72,49,0,1
72,50,0,1
73,2,1,1
73,3,0,1
73,4,0,1
73,16,0,1
73,17,0,1
73,43,0,1
73,49,0,1
73,50,0,1
74,2,1,1
74,3,0,1
74,4,0,1
74,16,0,1
74,17,0,1
74,43,0,1
74,49,0,1
74,50,0,1
75,2,1,1
75,3,0,1
75,4,0,1
75,16,0,1
75,17,0,1
75,43,0,1
75,49,0,1
75,50,0,1
76,2,1,1
76,3,0,1
76,4,0,1
76,16,0,1
76,17,0,1
76,43,0,1
76,49,0,1
76,50,0,1
77,2,1,1
77,3,0,1
77,4,0,1
77,16,0,1
77,17,0,1
77,43,0,1
77,49,0,1
77,50,0,1
78,2,1,1
78,3,0,1
78,4,0,1
78,16,0,1
78,17,0,1
78,43,0,1
78,49,0,1
78,50,0,1
79,2,1,1
79,3,0,1
79,4,0,1
79,16,0,1
79,17,0,1
79,43,0,1
79,49,0,1
79,50,0,1
80,2,1,1
80,3,0,1
80,4,0,1
80,16,0,1
80,17,0,1
80,43,0,1
80,49,0,1
80,50,0,1
81,2,1,1
81,3,0,1
81,4,0,1
81,16,0,1
81,17,0,1
81,43,0,1
81,49,0,1
81,50,0,1
82,2,1,1
82,3,0,1
82,4,0,1
82,16,0,1
82,17,0,1
82,43,0,1
82,49,0,1
82,50,0,1
83,2,1,1
83,3,0,1
83,4,0,1
83,16,0,1
83,17,0,1
83,43,0,1
83,49,0,1
83,50,0,1
84,2,1,1
84,3,0,1
84,4,0,1
84,16,0,1
84,17,0,1
84,43,0,1
84,49,0,1
84,50,0,1
85,2,1,1
85,3,0,1
85,4,0,1
85,16,0,1
85,17,0,1
85,43,0,1
85,49,0,1
85,50,0,1
86,2,1,1
86,3,0,1
86,4,0,1
86,16,0,1
